Anho,temp_1_i,temp_1_f,temp_2_i,temp_2_f
1950,1/02/1950,31/07/1950,1/08/1950,31/01/1951
1951,1/02/1951,31/07/1951,1/08/1951,31/01/1952
1952,1/02/1952,31/07/1952,1/08/1952,31/01/1953
1953,1/02/1953,31/07/1953,1/08/1953,31/01/1954
1954,1/02/1954,31/07/1954,1/08/1954,31/01/1955
1955,1/02/1955,31/07/1955,1/08/1955,31/01/1956
1956,1/02/1956,31/07/1956,1/08/1956,31/01/1957
1957,1/02/1957,31/07/1957,1/08/1957,31/01/1958
1958,1/02/1958,31/07/1958,1/08/1958,31/01/1959
1959,1/02/1959,31/07/1959,1/08/1959,31/01/1960
1960,1/02/1960,31/07/1960,1/08/1960,31/01/1961
1961,1/02/1961,31/07/1961,1/08/1961,31/01/1962
1962,1/02/1962,31/07/1962,1/08/1962,31/01/1963
1963,1/02/1963,31/07/1963,1/08/1963,31/01/1964
1964,1/02/1964,31/07/1964,1/08/1964,31/01/1965
1965,1/02/1965,31/07/1965,1/08/1965,31/01/1966
1966,1/02/1966,31/07/1966,1/08/1966,31/01/1967
1967,1/02/1967,31/07/1967,1/08/1967,31/01/1968
1968,1/02/1968,31/07/1968,1/08/1968,31/01/1969
1969,1/02/1969,31/07/1969,1/08/1969,31/01/1970
1970,1/02/1970,31/07/1970,1/08/1970,31/01/1971
1971,1/02/1971,31/07/1971,1/08/1971,31/01/1972
1972,1/02/1972,31/07/1972,1/08/1972,31/01/1973
1973,1/02/1973,31/07/1973,1/08/1973,31/01/1974
1974,1/02/1974,31/07/1974,1/08/1974,31/01/1975
1975,1/02/1975,31/07/1975,1/08/1975,31/01/1976
1976,1/02/1976,31/07/1976,1/08/1976,31/01/1977
1977,1/02/1977,31/07/1977,1/08/1977,31/01/1978
1978,1/02/1978,31/07/1978,1/08/1978,31/01/1979
1979,1/02/1979,31/07/1979,1/08/1979,31/01/1980
1980,1/02/1980,31/07/1980,1/08/1980,31/01/1981
1981,1/02/1981,31/07/1981,1/08/1981,31/01/1982
1982,1/02/1982,31/07/1982,1/08/1982,31/01/1983
1983,1/02/1983,31/07/1983,1/08/1983,31/01/1984
1984,1/02/1984,31/07/1984,1/08/1984,31/01/1985
1985,1/02/1985,31/07/1985,1/08/1985,31/01/1986
1986,1/02/1986,31/07/1986,1/08/1986,31/01/1987
1987,1/02/1987,31/07/1987,1/08/1987,31/01/1988
1988,1/02/1988,31/07/1988,1/08/1988,31/01/1989
1989,1/02/1989,31/07/1989,1/08/1989,31/01/1990
1990,1/02/1990,31/07/1990,1/08/1990,31/01/1991
1991,1/02/1991,31/07/1991,1/08/1991,31/01/1992
1992,1/02/1992,31/07/1992,1/08/1992,31/01/1993
1993,1/02/1993,31/07/1993,1/08/1993,31/01/1994
1994,1/02/1994,31/07/1994,1/08/1994,31/01/1995
1995,1/02/1995,31/07/1995,1/08/1995,31/01/1996
1996,1/04/1996,30/07/1996,1/11/1996,31/01/1997
1997,1/04/1997,30/07/1997,1/10/1997,31/01/1998
1998,1/05/1998,31/07/1998,1/10/1998,31/01/1999
1999,1/04/1999,31/07/1999,1/10/1999,31/01/2000
2000,8/03/2000,26/07/2000,23/10/2000,15/01/2001
2001,8/03/2001,26/07/2001,9/10/2001,16/01/2002
2002,24/03/2002,31/07/2002,25/10/2002,22/12/2002
2003,3/04/2003,21/07/2003,15/10/2003,16/01/2004
2004,2/04/2004,18/07/2004,25/10/2004,19/12/2004
2005,11/04/2005,15/07/2005,2/11/2005,3/12/2005
2006,28/03/2006,18/06/2006,3/11/2006,9/12/2006
2007,10/04/2007,10/06/2007,17/11/2007,14/12/2007
2008,21/04/2008,18/06/2008,15/11/2008,12/12/2008
2009,20/04/2009,30/07/2009,6/11/2009,31/01/2010
2010,13/05/2010,31/07/2010,20/11/2010,18/01/2011
2011,1/04/2011,27/07/2011,23/11/2011,31/01/2012
2012,2/05/2012,31/07/2012,22/11/2012,1/02/2013
2013,17/05/2013,31/07/2013,12/11/2013,30/01/2014
2014,23/04/2014,5/08/2014,,
2015,1/04/2015,31/07/2015,17/11/2015,31/01/2016
2016,18/06/2016,26/07/2016,11/11/2016,26/01/2017
2017,22/04/2017,31/07/2017,23/11/2017,26/01/2018
2018,7/04/2018,6/07/2018,1/11/2018,31/01/2019
2019,28/04/2019,31/07/2019,1/11/2019,31/01/2020
