Anho,temp_1_i,temp_1_f,temp_2_i,temp_2_f
1996,01/04/1996,30/07/1996,01/11/1996,31/01/1997
1997,01/04/1997,30/07/1997,01/10/1997,31/01/1998
1998,01/05/1998,31/07/1998,01/10/1998,31/01/1999
1999,01/04/1999,31/07/1999,01/10/1999,31/01/2000
2000,08/03/2000,28/07/2000,23/10/2000,14/01/2001
2001,12/03/2001,25/07/2001,09/10/2001,16/01/2002
2002,24/03/2002,31/07/2002,25/10/2002,22/12/2002
2003,03/04/2003,20/07/2003,15/10/2003,17/12/2003
2004,02/04/2004,18/07/2004,25/10/2004,18/12/2004
2005,11/04/2005,15/06/2005,02/11/2005,03/12/2005
2006,28/03/2006,20/06/2006,03/11/2006,09/12/2006
2007,10/04/2007,11/06/2007,03/11/2007,09/12/2007
2008,21/04/2008,18/06/2008,15/11/2008,13/12/2008
2009,20/04/2009,30/07/2009,06/11/2009,31/01/2010
2010,13/05/2010,31/07/2010,20/11/2010,18/01/2011
2011,01/04/2011,31/07/2011,23/11/2011,31/01/2012
2012,02/05/2012,31/07/2012,22/11/2012,31/01/2013
2013,17/05/2013,31/07/2013,12/11/2013,31/01/2014
2014,23/04/2014,10/08/2014,,
2015,09/04/2015,31/07/2015,17/11/2015,31/01/2016
2016,18/06/2016,26/07/2016,11/11/2016,26/01/2017
2017,22/04/2017,31/07/2017,23/11/2017,26/01/2018
